name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Cable Rear Delt Fly,pull,beginner,isolation,cable,shoulders,None,None,None,None,None,None,None,None,None,None,Adjust the pulleys to the appropriate height and adjust the weight. The pulleys should be above your head.,strength
Cable Reverse Crunch,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,Connect an ankle strap attachment to a low pulley cable and position a mat on the floor in front of it.,strength
Cable Rope Overhead Triceps Extension,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Attach a rope to the bottom pulley of the pulley machine.,strength
Cable Rope Rear-Delt Rows,pull,beginner,compound,cable,shoulders,biceps,middle back,None,None,None,None,None,None,None,None,Sit in the same position on a low pulley row station as you would if you were doing seated cable rows for the back.,strength
Cable Russian Twists,pull,beginner,compound,cable,abdominals,None,None,None,None,None,None,None,None,None,None,"Connect a standard handle attachment, and position the cable to a middle pulley position.",strength
Cable Seated Crunch,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,Seat on a flat bench with your back facing a high pulley.,strength
Cable Seated Lateral Raise,pull,beginner,isolation,cable,shoulders,middle back,traps,None,None,None,None,None,None,None,None,Stand in the middle of two low pulleys that are opposite to each other and place a flat bench right behind you (in perpendicular fashion to you; the narrow edge of the bench should be the one behind you). Select the weight to be used on each pulley.,strength
Cable Shoulder Press,push,beginner,compound,cable,shoulders,triceps,None,None,None,None,None,None,None,None,None,Move the cables to the bottom of the towers and select an appropriate weight.,strength
Cable Shrugs,pull,beginner,isolation,cable,traps,None,None,None,None,None,None,None,None,None,None,Grasp a cable bar attachment that is attached to a low pulley with a shoulder width or slightly wider overhand (palms facing down) grip.,strength
Cable Wrist Curl,pull,beginner,isolation,cable,forearms,None,None,None,None,None,None,None,None,None,None,Start out by placing a flat bench in front of a low pulley cable that has a straight bar attachment.,strength
Calf-Machine Shoulder Shrug,pull,beginner,isolation,machine,traps,None,None,None,None,None,None,None,None,None,None,Position yourself on the calf machine so that the shoulder pads are above your shoulders. Your torso should be straight with the arms extended normally by your side. This will be your starting position.,strength
Calf Press,push,beginner,isolation,machine,calves,None,None,None,None,None,None,None,None,None,None,Adjust the seat so that your legs are only slightly bent in the start position. The balls of your feet should be firmly on the platform.,strength
Calf Press On The Leg Press Machine,push,beginner,isolation,machine,calves,None,None,None,None,None,None,None,None,None,None,"Using a leg press machine, sit down on the machine and place your legs on the platform directly in front of you at a medium (shoulder width) foot stance.",strength
Calf Raise On A Dumbbell,push,intermediate,isolation,dumbbell,calves,None,None,None,None,None,None,None,None,None,None,"Hang on to a sturdy object for balance and stand on a dumbbell handle, preferably one with round plates so that it rolls as in this manner you have to work harder to stabilize yourself; thus increasing the effectiveness of the exercise.",strength
Calf Raises - With Bands,push,beginner,isolation,bands,calves,None,None,None,None,None,None,None,None,None,None,Grab an exercise band and stand on it with your toes making sure that the length of the band between the foot and the arms is the same for both sides.,strength
Calf Stretch Elbows Against Wall,static,beginner,isolation,None,calves,None,None,None,None,None,None,None,None,None,None,Stand facing a wall from a couple feet away.,stretching
Calf Stretch Hands Against Wall,static,beginner,isolation,None,calves,None,None,None,None,None,None,None,None,None,None,"Stand facing a wall from several feet away. Stagger your stance, placing one foot forward.",stretching
Calves-SMR,static,intermediate,None,foam roll,calves,None,None,None,None,None,None,None,None,None,None,"Begin seated on the floor. Place a foam roller underneath your lower leg. Your other leg can either be crossed over the opposite or be placed on the floor, supporting some of your weight. This will be your starting position.",stretching
Car Deadlift,pull,intermediate,compound,other,quadriceps,forearms,glutes,hamstrings,lower back,traps,None,None,None,None,None,"This event apparatus typically has neutral grip handles, however some have a straight bar that you can approach like a normal deadlift. The apparatus can be loaded with a vehicle or other heavy objects such as tractor tires or kegs.",strongman
Car Drivers,push,beginner,isolation,barbell,shoulders,forearms,None,None,None,None,None,None,None,None,None,"While standing upright, hold a barbell plate in both hands at the 3 and 9 o'clock positions. Your palms should be facing each other and your arms should be extended straight out in front of you. This will be your starting position.",strength
Carioca Quick Step,None,beginner,None,None,adductors,abdominals,abductors,calves,glutes,hamstrings,quadriceps,None,None,None,None,"Begin with your feet a few inches apart and your left arm up in a relaxed, athletic position.",plyometrics
Cat Stretch,static,beginner,None,None,lower back,middle back,traps,None,None,None,None,None,None,None,None,Position yourself on the floor on your hands and knees.,stretching
Catch and Overhead Throw,push,beginner,compound,medicine ball,lats,abdominals,chest,shoulders,None,None,None,None,None,None,None,Begin standing while facing a wall or a partner.,plyometrics
Chain Handle Extension,push,intermediate,isolation,other,triceps,None,None,None,None,None,None,None,None,None,None,"You will need two cable handle attachments and a flat bench, as well as chains, for this exercise. Clip the middle of the chains to the handles, and position yourself on the flat bench. Your elbows should be pointing straight up.",powerlifting
Chain Press,push,intermediate,compound,other,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Begin by connecting the chains to the cable handle attachments. Position yourself on the flat bench in the same position as for a dumbbell press. Your wrists should be pronated and arms perpendicular to the floor. This will be your starting position.,powerlifting
Chair Leg Extended Stretch,static,beginner,isolation,other,hamstrings,adductors,None,None,None,None,None,None,None,None,None,Sit upright in a chair and grip the seat on the sides.,stretching
Chair Lower Back Stretch,static,beginner,isolation,None,lats,lower back,None,None,None,None,None,None,None,None,None,Sit upright on a chair.,stretching
Chair Squat,push,beginner,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, first set the bar to a position that best matches your height. Once the bar is loaded, step under it and position it across the back of your shoulders.",strength
Chair Upper Body Stretch,static,beginner,None,other,shoulders,biceps,chest,None,None,None,None,None,None,None,None,"Sit on the edge of a chair, gripping the back of it.",stretching
Chest And Front Of Shoulder Stretch,static,beginner,isolation,other,chest,shoulders,None,None,None,None,None,None,None,None,None,"Start off by standing with your legs together, holding a bodybar or a broomstick.",stretching
Chest Push from 3 point stance,push,beginner,compound,medicine ball,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,"Begin in a three point stance, squatted down with your back flat and one hand on the ground. Place the medicine ball directly in front of you.",plyometrics
Chest Push (multiple response),push,beginner,compound,medicine ball,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,Begin in a kneeling position facing a wall or utilize a partner. Hold the ball with both hands tight into the chest.,plyometrics
Chest Push (single response),push,beginner,compound,medicine ball,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,Begin in a kneeling position holding the medicine ball with both hands tightly into the chest.,plyometrics
